"ProfID","lon","lat","top","bottom","Clay","Silt","Sand","SOC","pH","pH_Class","Clay_pH_Class"
"PROF0003_1",-101.9787342,39.069884,0,30,20.4629672,55.9,23.6,1.5744,8.13,"very_alkaline","medium_clay_alkaline"
"PROF0004_1",-101.78322,38.46796,0,30,22.8316904,57.9,19.3,1.352,6.12,"neutral","medium_clay_neutral"
"PROF0005_1",-101.78132,38.4703,0,30,26.4101586,58.4,15.2,1.51,7.25,"alkaline","medium_clay_alkaline"
"PROF0006_1",-101.77872,38.47096,0,30,19.7954184,54.9,25.3,1.65,6.75,"neutral","low_clay_neutral"
"PROF0007_1",-101.74667,38.5798,0,30,25.5185567,54.2,20.3,1.6972,7.21,"alkaline","medium_clay_alkaline"
"PROF0008_1",-101.7258606,39.2791672,0,30,32.3523316,57.7,9.9,1.4412,7.84,"alkaline","medium_clay_alkaline"
"PROF0009_1",-101.6745758,38.7700958,0,30,33.4874,57.5,8.7,1.6008,7.23,"alkaline","medium_clay_alkaline"
"PROF0010_1",-101.6739349,38.7700768,0,30,26.4536352,63,10.5,1.66,6.2,"neutral","medium_clay_neutral"
"PROF0011_1",-101.6737595,38.7696991,0,30,34.2075943,56.5,9.3,1,6.6,"neutral","medium_clay_neutral"
"PROF0012_1",-101.6669998,38.8320833,0,30,35.036606,59.2,5.8,2.5156,7.72,"alkaline","medium_clay_alkaline"
"PROF0013_1",-101.535978,38.508278,0,30,26.2398523,58.3,15.2,1.4524,8.29,"very_alkaline","medium_clay_alkaline"
"PROF0014_1",-101.5340286,38.507851,0,30,24.7548032,58.2,15.5,1.1852,8.28,"very_alkaline","medium_clay_alkaline"
"PROF0015_1",-101.5332556,38.504859,0,30,27.7807481,53.4,18.8,1.1572,8.29,"very_alkaline","medium_clay_alkaline"
"PROF0016_1",-101.477627,38.220871,0,30,14.4183409,26.1,59.5,0.456,8.22,"very_alkaline","low_clay_alkaline"
"PROF0017_1",-101.474492,38.220703,0,30,24.2326041,52.5,23.3,1.31,8.07,"very_alkaline","medium_clay_alkaline"
"PROF0018_1",-101.4703215,38.221674,0,30,25.8478867,57.8,16.4,0.97,8,"alkaline","medium_clay_alkaline"
"PROF0019_1",-101.4447028,38.5747139,0,30,24.3214475,56.4,19.3,1.3416,7.85,"alkaline","medium_clay_alkaline"
"PROF0020_1",-101.416975,37.7141528,0,30,49.9196807,44.5,5.6,1.4832,8.32,"very_alkaline","high_clay_alkaline"
"PROF0021_1",-101.3554722,37.3518611,0,30,26.9051627,47.3,26.3,0.9188,8.02,"very_alkaline","medium_clay_alkaline"
"PROF0022_1",-101.2533267,38.448401,0,30,30.8445098,36.6,32.6,1.17,7.28,"alkaline","medium_clay_alkaline"
"PROF0023_1",-101.250361,38.447367,0,30,28.2589532,29.8,41.9,0.5832,8.17,"very_alkaline","medium_clay_alkaline"
"PROF0024_1",-101.1744824,38.039666,0,30,22.4086954,35.3,42.3,1.4052,7.65,"alkaline","medium_clay_alkaline"
"PROF0025_1",-101.1740799,37.2981682,0,30,30.2332495,51.6,19.5,0.76,7.21,"alkaline","medium_clay_alkaline"
"PROF0026_1",-101.1681571,38.039611,0,30,13.9296331,16.4,69.2,1.042,8.04,"very_alkaline","low_clay_alkaline"
"PROF0027_1",-101.1651392,38.046236,0,30,16.7559531,22.2,61,0.6332,8.2,"very_alkaline","low_clay_alkaline"
"PROF0028_1",-101.1127472,37.3143044,0,30,26.5813953,51.5,21.2,0.9,6.72,"neutral","medium_clay_neutral"
"PROF0029_1",-101.1120556,39.2736111,0,30,22.2242356,59.7,17.7,1.3164,7.55,"alkaline","medium_clay_alkaline"
"PROF0030_1",-100.9438629,38.4798889,0,30,31.4859098,57.9,10.6,1.3,6.69,"neutral","medium_clay_neutral"
"PROF0032_1",-100.9100833,38.2407778,0,30,34.1386151,44.4,21.5,0.7968,7.97,"alkaline","medium_clay_alkaline"
"PROF0033_1",-100.8617935,38.0912819,0,30,26.4278604,39.2,34.4,0.7256,8.28,"very_alkaline","medium_clay_alkaline"
"PROF0034_1",-100.8413086,38.7571106,0,30,21.5681467,64.6,13.8,1.7092,7.8,"alkaline","medium_clay_alkaline"
"PROF0034_2",-100.8413086,38.7571106,0,30,29.988762,55.4,14.6,0.8364,8.15,"very_alkaline","medium_clay_alkaline"
"PROF0035_1",-100.8412704,38.0056534,0,30,34.8525225,46.3,18.8,1.046,8.22,"very_alkaline","medium_clay_alkaline"
"PROF0036_1",-100.8011703,38.355999,0,30,23.0284267,52.3,24.7,0.74,6.9,"neutral","medium_clay_neutral"
"PROF0037_1",-100.7999725,38.6030273,0,30,31.5241111,66.4,2.1,0.6456,7.81,"alkaline","medium_clay_alkaline"
"PROF0038_1",-100.7867778,38.3349167,0,30,24.003342,46.4,29.6,1.1156,7.54,"alkaline","medium_clay_alkaline"
"PROF0039_1",-100.7761678,38.3838611,0,30,18.1820679,27.4,54.4,0.3932,7.13,"alkaline","low_clay_alkaline"
"PROF0040_1",-100.7664722,38.6904444,0,30,22.8058689,53.5,23.7,1.7008,7.98,"alkaline","medium_clay_alkaline"
"PROF0041_1",-100.730256,38.992232,0,30,26.2965992,54.5,19.2,1.3856,7.82,"alkaline","medium_clay_alkaline"
"PROF0042_1",-100.73017,38.992294,0,30,27.9594697,53.4,20.7,1.6224,6.93,"neutral","medium_clay_neutral"
"PROF0043_1",-100.73005,38.992252,0,30,22.5201039,52.4,25.1,1.2396,7.72,"alkaline","medium_clay_alkaline"
"PROF0044_1",-100.6753769,38.3119659,0,30,33.6052221,51.5,14.9,1.1984,7.93,"alkaline","medium_clay_alkaline"
"PROF0045_1",-100.6701833,37.6941083,0,30,27.1669452,51.3,21.5,1.39,6.43,"neutral","medium_clay_neutral"
"PROF0047_1",-100.6474838,38.3121643,0,30,45.5301704,45.7,8.8,1.614,7.84,"alkaline","high_clay_alkaline"
"PROF0048_1",-100.6030832,37.0840546,0,30,2.9122128,4.6,92.5,0.2,6.6,"neutral","low_clay_neutral"
"PROF0049_1",-100.5982111,39.0628722,0,30,32.5450484,57.6,9.9,0.8808,7.35,"alkaline","medium_clay_alkaline"
"PROF0050_1",-100.5921694,37.0797611,0,30,11.25,9.2,79.5,0.18,6.79,"neutral","low_clay_neutral"
"PROF0051_1",-100.5671294,37.0940367,0,30,12.224343,7.7,80.1,0.26,6.98,"neutral","low_clay_neutral"
"PROF0052_1",-100.5659588,37.1002473,0,30,6.6102445,3.6,89.8,0.12,6.81,"neutral","low_clay_neutral"
"PROF0053_1",-100.5658007,37.0935093,0,30,21.5310345,19.8,58.7,0.7,5.85,"acid","medium_clay_acid"
"PROF0054_1",-100.561641,39.249225,0,30,26.07783645,62.25,10.4,1.6236,7.18,"alkaline","medium_clay_alkaline"
"PROF0054_2",-100.561641,39.249225,0,30,24.7008776,64.6,10.7,1.8528,7.4,"alkaline","medium_clay_alkaline"
"PROF0055_1",-100.5613333,37.7945556,0,30,11.14160715,19.55,69.3,0.53,5.925,"acid","low_clay_acid"
"PROF0056_1",-100.55743,39.244926,0,30,30.4240659,54.3,15.3,1.11,6.95,"neutral","medium_clay_neutral"
"PROF0056_2",-100.55743,39.244926,0,30,24.7980809,65.6,9.6,1.88,4.87,"very_acid","medium_clay_acid"
"PROF0057_1",-100.54297,39.244814,0,30,27.8252866,61.4,10.8,1.16,6.14,"neutral","medium_clay_neutral"
"PROF0057_2",-100.54297,39.244814,0,30,20.7341748,65.4,13.9,1.54,4.6,"very_acid","medium_clay_acid"
"PROF0058_1",-100.5412216,37.8573608,0,30,30.9148675,57.9,11.2,1.2416,7.82,"alkaline","medium_clay_alkaline"
"PROF0059_1",-100.5375944,38.1884861,0,30,33.3280765,48.5,18.2,0.996,8.05,"very_alkaline","medium_clay_alkaline"
"PROF0060_1",-100.5006512,39.213832,0,30,27.596407,61.7,10.7,1.0632,7.18,"alkaline","medium_clay_alkaline"
"PROF0061_1",-100.5005848,39.214518,0,30,30.3323883,58.1,11.6,0.8908,7.3,"alkaline","medium_clay_alkaline"
"PROF0062_1",-100.4993418,39.206181,0,30,21.4724313,61.2,17.3,1.76,5.53,"acid","medium_clay_acid"
"PROF0062_2",-100.4993418,39.206181,0,30,31.0148598,58,11,1.2028,7.28,"alkaline","medium_clay_alkaline"
"PROF0063_1",-100.4992667,39.214084,0,30,27.8376119,59.7,13,0.8432,7.3,"alkaline","medium_clay_alkaline"
"PROF0064_1",-100.48849,39.233595,0,30,27.7659774,60.6,11.4,0.8124,6.61,"neutral","medium_clay_neutral"
"PROF0065_1",-100.4831241,39.228014,0,30,28.656444,59.4,11.9,1.2284,6.87,"neutral","medium_clay_neutral"
"PROF0066_1",-100.4826982,39.228695,0,30,24.2666837,62.6,13.1,2.24,5.27,"acid","medium_clay_acid"
"PROF0066_2",-100.4826982,39.228695,0,30,30.0909674,56.2,11.9,1.15,6.46,"neutral","medium_clay_neutral"
"PROF0067_1",-100.4514937,39.206472,0,30,27.3533802,60,12.6,2.43,5.46,"acid","medium_clay_acid"
"PROF0067_2",-100.4514937,39.206472,0,30,36.4112355,52.5,11.1,0.7372,6.78,"neutral","medium_clay_neutral"
"PROF0068_1",-100.4507479,39.209626,0,30,28.9802743,58.9,12.1,1.3044,7.04,"alkaline","medium_clay_alkaline"
"PROF0069_1",-100.4497104,39.207611,0,30,31.5724442,57.5,10.9,1.1544,7.4,"alkaline","medium_clay_alkaline"
"PROF0070_1",-100.4482462,39.207936,0,30,34.2910479,55,10.7,1.2756,7.23,"alkaline","medium_clay_alkaline"
"PROF0071_1",-100.4390867,39.221628,0,30,38.0463927,51,11,0.7108,7.61,"alkaline","medium_clay_alkaline"
"PROF0072_1",-100.4374282,39.221531,0,30,29.4333894,60.6,10,1.7848,7.51,"alkaline","medium_clay_alkaline"
"PROF0073_1",-100.4369635,39.220897,0,30,26.7038556,62.7,10.6,1.5508,7.6,"alkaline","medium_clay_alkaline"
"PROF0074_1",-100.4356218,39.220427,0,30,29.2908305,64.1,6.6,1.84,5.52,"acid","medium_clay_acid"
"PROF0074_2",-100.4356218,39.220427,0,30,35.1220251,56.3,8.6,1.052,6.71,"neutral","medium_clay_neutral"
"PROF0075_1",-100.4125468,37.0478572,0,30,8.3539686,13.2,78.4,0.32,6.63,"neutral","low_clay_neutral"
"PROF0076_1",-100.4075433,37.048965,0,30,17.2734457,18.4,64.3,0.4832,8.04,"very_alkaline","low_clay_alkaline"
"PROF0077_1",-100.3957611,37.1348194,0,30,10.3956897,25,64.6,0.61,7.25,"alkaline","low_clay_alkaline"
"PROF0078_1",-100.3429167,39.8755,0,30,17.7460965,51.3,31,0.7076,7.99,"alkaline","low_clay_alkaline"
"PROF0079_1",-100.3307333,37.0482333,0,30,4.60477075,7.05,88.35,0.125,7.28,"alkaline","low_clay_alkaline"
"PROF0080_1",-100.3155,38.3179445,0,30,30.13296485,62.2,7.65,0.8032,7.99,"alkaline","medium_clay_alkaline"
"PROF0081_1",-100.0942688,38.7833824,0,30,9.2633965,29.2,61.5,1.0976,7.49,"alkaline","low_clay_alkaline"
"PROF0082_1",-100.0519409,37.5755539,0,30,31.5989022,64.3,4.1,1.6312,7.245,"alkaline","medium_clay_alkaline"
"PROF0082_2",-100.0519409,37.5755539,0,30,NA,NA,NA,NA,NA,NA,NA
"PROF0083_1",-99.984226,38.468376,0,30,28.1774091,63.6,8.2,2.0164,8.02,"very_alkaline","medium_clay_alkaline"
"PROF0084_1",-99.984219,38.468192,0,30,25.300977,65.9,8.8,1.5716,8.04,"very_alkaline","medium_clay_alkaline"
"PROF0085_1",-99.984219,38.468293,0,30,24.98146395,65.05,9.95,2.6454,7.86,"alkaline","medium_clay_alkaline"
"PROF0085_2",-99.984219,38.468293,0,30,30.1895558,64.9,4.9,0.9952,8.1,"very_alkaline","medium_clay_alkaline"
"PROF0086_1",-99.9016647,38.1006927,0,30,25.7727533,63.6,10.6,1.56,6.32,"neutral","medium_clay_neutral"
"PROF0087_1",-99.8405556,39.4950278,0,30,22.1352529,59.7,18.2,1.8,6.76,"neutral","medium_clay_neutral"
"PROF0088_1",-99.7596359,39.5855446,0,30,6.1800717,18.2,75.65,0.5292,7.94,"alkaline","low_clay_alkaline"
"PROF0089_1",-99.7596359,39.5857582,0,30,11.8395566,34.7,53.5,2.0156,7.52,"alkaline","low_clay_alkaline"
"PROF0090_1",-99.75575,39.81327778,0,30,23.578015,34.7,41.7,1.2176,8.16,"very_alkaline","medium_clay_alkaline"
"PROF0091_1",-99.7244034,37.7192268,0,30,30.9008873,42,27.1,0.82,6.39,"neutral","medium_clay_neutral"
"PROF0092_1",-99.716809,38.087289,0,30,28.2254127,55.8,15.8,1.9938,7.49,"alkaline","medium_clay_alkaline"
"PROF0093_1",-99.716658,38.087292,0,30,29.2328993,55,15.8,2.05,6.91,"neutral","medium_clay_neutral"
"PROF0094_1",-99.716529,38.087259,0,30,29.3830879,55.2,16.8,1.77,7.06,"alkaline","medium_clay_alkaline"
"PROF0095_1",-99.673779,38.919249,0,30,19.7361954,56.6,23.7,1.22,7.2,"alkaline","low_clay_alkaline"
"PROF0096_1",-99.673776,38.919171,0,30,19.7526217,56,26.6,1.26,7.26,"alkaline","low_clay_alkaline"
"PROF0097_1",-99.673652,38.91921,0,30,21.0389538,59.7,19.3,1.02,7.23,"alkaline","medium_clay_alkaline"
"PROF0098_1",-99.5579987,39.398304,0,30,20.1593899,38.3,41.8,0.8724,8.01,"very_alkaline","medium_clay_alkaline"
"PROF0099_1",-99.47791,39.67578,0,30,28.9541256,63.7,7.2,0.9576,7.94,"alkaline","medium_clay_alkaline"
"PROF0100_1",-99.47789,39.64507,0,30,27.0564713,65.6,7.3,0.8208,7.93,"alkaline","medium_clay_alkaline"
"PROF0101_1",-99.47775,39.64759,0,30,28.2283166,65.5,6.3,0.7772,7.98,"alkaline","medium_clay_alkaline"
"PROF0102_1",-99.3741843,38.8737662,0,30,27.1684421,45.5,27.3,1.7752,8.1,"very_alkaline","medium_clay_alkaline"
"PROF0103_1",-99.3738782,38.8717308,0,30,29.1857143,62.1,8.7,2.36,7.2,"alkaline","medium_clay_alkaline"
"PROF0104_1",-99.3652547,38.8743479,0,30,38.9131604,56.1,5,1.07,7.27,"alkaline","medium_clay_alkaline"
"PROF0105_1",-99.361225,38.9285926,0,30,30.58047365,61.55,7.9,1.5474,7.53,"alkaline","medium_clay_alkaline"
"PROF0106_1",-99.3585,38.9274028,0,30,22.74334,56.2,21.1,3.2748,8.02,"very_alkaline","medium_clay_alkaline"
"PROF0107_1",-99.3424307,38.8569537,0,30,24.1319333,50.1,23.4,1.2312,8.2,"very_alkaline","medium_clay_alkaline"
"PROF0108_1",-99.3422887,38.857793,0,30,24.917937,49.5,25.6,1.5024,8.13,"very_alkaline","medium_clay_alkaline"
"PROF0109_1",-99.3411835,38.8576254,0,30,28.1676525,56.8,15,3.6388,7.14,"alkaline","medium_clay_alkaline"
"PROF0110_1",-99.3295288,39.786335,0,30,22.4496167,71.8,5.8,1.86,6.43,"neutral","medium_clay_neutral"
"PROF0111_1",-99.316273,38.8443,0,30,34.4631114,56.6,8.95,2.075,6.81,"neutral","medium_clay_neutral"
"PROF0112_1",-99.3161651,38.8477117,0,30,27.558675,54.8,17.6,2.4244,8.01,"very_alkaline","medium_clay_alkaline"
"PROF0113_1",-99.3154798,38.8440855,0,30,34.5799745,53.25,12.45,2.105,7.095,"alkaline","medium_clay_alkaline"
"PROF0114_1",-99.314685,38.842806,0,30,36.1040932,44.8,19.1,1.07,6.21,"neutral","medium_clay_neutral"
"PROF0115_1",-99.3143434,38.8475045,0,30,26.8804018,65.3,7.8,1.4316,8.08,"very_alkaline","medium_clay_alkaline"
"PROF0116_1",-99.3139645,38.8442364,0,30,23.721349,52.7,20.75,0.6844,8.23,"very_alkaline","medium_clay_alkaline"
"PROF0117_1",-99.313483,38.849932,0,30,22.78860655,68.4,8.85,1.1632,8.09,"very_alkaline","medium_clay_alkaline"
"PROF0118_1",-99.31338,38.849887,0,30,23.3862062,69,7.6,1.1864,8.135,"very_alkaline","medium_clay_alkaline"
"PROF0119_1",-99.313298,38.849824,0,30,26.4785851,67.8,5.7,1.2072,8.13,"very_alkaline","medium_clay_alkaline"
"PROF0120_1",-99.303363,38.835464,0,30,28.7773836,56.9,14.3,1.77,6.73,"neutral","medium_clay_neutral"
"PROF0121_1",-99.23844,39.04247,0,30,31.1550644,44.2,24.6,1.9372,7.92,"alkaline","medium_clay_alkaline"
"PROF0122_1",-99.237097,39.044006,0,30,30.9004573,48.9,20.2,3.0388,7.67,"alkaline","medium_clay_alkaline"
"PROF0123_1",-99.2291641,39.4438896,0,30,22.7808828,64.9,15,0.92,6.52,"neutral","medium_clay_neutral"
"PROF0124_1",-99.1924167,38.5032778,0,30,25.2124574,62.2,12.6,2.11,6.93,"neutral","medium_clay_neutral"
"PROF0125_1",-99.192415,38.503409,0,30,23.8036087,63.3,12.9,1.8,7.36,"alkaline","medium_clay_alkaline"
"PROF0126_1",-99.192333,38.503316,0,30,24.9646006,62.2,12.8,1.9776,7.43,"alkaline","medium_clay_alkaline"
"PROF0127_1",-99.19232,38.503228,0,30,24.8862144,60.9,14.2,1.8976,7.76,"alkaline","medium_clay_alkaline"
"PROF0128_1",-99.1805801,37.7949715,0,30,9.9957748,9,81,0.62,4.5,"very_acid","low_clay_acid"
"PROF0129_1",-99.0235519,39.2910271,0,30,25.213357,71.1,3.7,1.58,6.47,"neutral","medium_clay_neutral"
"PROF0130_1",-98.9567184,38.1027794,0,30,16.4460778,16.8,66.8,0.48,5.82,"acid","low_clay_acid"
"PROF0131_1",-98.862498,39.375531,0,30,27.6285626,64.2,8.2,2.1556,8.05,"very_alkaline","medium_clay_alkaline"
"PROF0132_1",-98.862407,39.375534,0,30,25.9879172,64.4,8.3,1.7752,8.16,"very_alkaline","medium_clay_alkaline"
"PROF0133_1",-98.862333,39.375526,0,30,30.1249294,61.8,8.1,1.8852,8.13,"very_alkaline","medium_clay_alkaline"
